participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,665.548,585.810,3.34262084960938,3.24966430664063,1,1,1619038494321493,132635118095868753,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,683,126
5,Peyton,763.273,559.091,3.22134399414063,3.16142272949219,1,1,1619038495038064,132635118103032975,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,349,127
5,Peyton,835.050,554.350,3.21133422851563,3.12936401367188,1,1,1619038495421349,132635118106866346,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,316,128
5,Peyton,887.900,552.100,3.11900329589844,3.18064880371094,1,1,1619038495787966,132635118110532006,,,149,129
5,Peyton,807.800,551.000,3.25161743164063,3.14881896972656,1,1,1619038496154586,132635118114198460,Comment Body-discussion_r57498589--1ms,https://github.com/opensim-org/opensim-core/pull/894,66,133
5,Peyton,954.300,535.700,3.20797729492188,3.08695983886719,1,1,1619038496271237,132635118115365944,,,316,134
5,Peyton,1017.615,533.846,3.23138427734375,3.01980590820313,1,1,1619038496621191,132635118118865205,,,199,135
5,Peyton,1127.739,561.435,3.20223999023438,3.23858642578125,1,1,1619038496954482,132635118122198744,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,366,137
5,Peyton,1213.286,550.429,3.21064758300781,2.97401428222656,1,1,1619038497437754,132635118127031059,,,216,139
5,Peyton,639.125,587.375,3.15205383300781,3.11790466308594,1,1,1619038497754373,132635118130196324,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,116,140
5,Peyton,606.950,590.650,3.03550720214844,3.09080505371094,1,1,1619038497904356,132635118131697313,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,316,141
5,Peyton,699.200,578.200,2.98512268066406,3.09637451171875,1,1,1619038498254320,132635118135197172,,,149,142
5,Peyton,784.429,570.000,3.06466674804688,3.03959655761719,1,1,1619038498437620,132635118137029741,,,99,143
5,Peyton,775.154,559.769,3.18702697753906,3.09033203125,1,1,1619038498570936,132635118138362317,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,199,144
5,Peyton,860.286,557.643,3.03199768066406,3.11683654785156,1,1,1619038498804238,132635118140695763,,,216,145
5,Peyton,1011.500,543.500,3.11111450195313,2.97274780273438,1,1,1619038499070872,132635118143361697,,,116,146
5,Peyton,959.800,522.400,2.98591613769531,2.92041015625,1,1,1619038499237517,132635118145027980,,,66,147
5,Peyton,1099.143,596.000,3.25375366210938,3.11671447753906,1,1,1619038499587472,132635118148529432,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,99,149
5,Peyton,1159.846,573.154,3.13595581054688,3.14881896972656,1,1,1619038499720791,132635118149860060,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,416,150
5,Peyton,601.048,605.048,3.15916442871094,3.10276794433594,1,1,1619038500287380,132635118155528161,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,333,152
5,Peyton,676.333,595.417,3.05741882324219,3.11553955078125,1,1,1619038500653999,132635118159193350,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,153
5,Peyton,802.091,575.727,2.91331481933594,3.06475830078125,1,1,1619038501070609,132635118163358493,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,166,154
5,Peyton,903.750,594.313,3.04812622070313,3.09909057617188,1,1,1619038501270582,132635118165359112,Comment Body-discussion_r57498589--1ms,https://github.com/opensim-org/opensim-core/pull/894,249,155
5,Peyton,1008.150,589.050,3.0579833984375,2.81788635253906,1,1,1619038501637203,132635118169025572,,,316,157
5,Peyton,1117.833,570.333,3.03724670410156,2.89334106445313,1,1,1619038501987180,132635118172524953,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,83,158
5,Peyton,1113.333,583.167,3.02505493164063,2.88412475585938,1,1,1619038502103810,132635118173691133,Comment Body-discussion_r57498589--1ms,https://github.com/opensim-org/opensim-core/pull/894,83,159
